Ensembl	Gene	"Gene description"	Uniprot	Evidence
ENSG00000094914	AAAS	"Aladin WD repeat nucleoporin"	Q9NRG9	"Evidence at protein level"
ENSG00000090861	AARS	"Alanyl-tRNA synthetase"	P49588	"Evidence at protein level"
ENSG00000124608	AARS2	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Evidence at protein level"
ENSG00000008311	AASS	"Aminoadipate-semialdehyde synthase"	Q9UDR5	"Evidence at protein level"
ENSG00000144452	ABCA12	"ATP binding cassette subfamily A member 12"	Q86UK0	"Evidence at protein level"
ENSG00000167972	ABCA3	"ATP binding cassette subfamily A member 3"	Q99758	"Evidence at protein level"
ENSG00000198691	ABCA4	"ATP binding cassette subfamily A member 4"	P78363	"Evidence at protein level"
ENSG00000064687	ABCA7	"ATP binding cassette subfamily A member 7"	Q8IZY2	"Evidence at protein level"
ENSG00000085563	ABCB1	"ATP binding cassette subfamily B member 1"	P08183	"Evidence at protein level"
ENSG00000073734	ABCB11	"ATP binding cassette subfamily B member 11"	O95342	"Evidence at protein level"
ENSG00000005471	ABCB4	"ATP binding cassette subfamily B member 4"	P21439	"Evidence at protein level"
ENSG00000115657	ABCB6	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	"Evidence at protein level"
ENSG00000131269	ABCB7	"ATP binding cassette subfamily B member 7"	O75027	"Evidence at protein level"
ENSG00000091262	ABCC6	"ATP binding cassette subfamily C member 6"	O95255	"Evidence at protein level"
ENSG00000101986	ABCD1	"ATP binding cassette subfamily D member 1"	P33897	"Evidence at protein level"
ENSG00000117528	ABCD3	"ATP binding cassette subfamily D member 3"	P28288	"Evidence at protein level"
ENSG00000119688	ABCD4	"ATP binding cassette subfamily D member 4"	O14678	"Evidence at protein level"
ENSG00000138075	ABCG5	"ATP binding cassette subfamily G member 5"	Q9H222	"Evidence at protein level"
ENSG00000143921	ABCG8	"ATP binding cassette subfamily G member 8"	Q9H221	"Evidence at protein level"
ENSG00000100997	ABHD12	"Abhydrolase domain containing 12"	Q8N2K0	"Evidence at protein level"
ENSG00000011198	ABHD5	"Abhydrolase domain containing 5"	Q8WTS1	"Evidence at protein level"
ENSG00000278540	ACACA	"Acetyl-CoA carboxylase alpha"	Q13085	"Evidence at protein level"
ENSG00000117054	ACADM	"Acyl-CoA dehydrogenase medium chain"	P11310	"Evidence at protein level"
ENSG00000122971	ACADS	"Acyl-CoA dehydrogenase short chain"	P16219	"Evidence at protein level"
ENSG00000196177	ACADSB	"Acyl-CoA dehydrogenase short/branched chain"	P45954	"Evidence at protein level"
ENSG00000072778	ACADVL	"Acyl-CoA dehydrogenase very long chain"	P49748	"Evidence at protein level"
ENSG00000075239	ACAT1	"Acetyl-CoA acetyltransferase 1"	P24752	"Evidence at protein level"
ENSG00000100412	ACO2	"Aconitase 2"	Q99798	"Evidence at protein level"
ENSG00000161533	ACOX1	"Acyl-CoA oxidase 1"	Q15067	"Evidence at protein level"
ENSG00000168306	ACOX2	"Acyl-CoA oxidase 2"	Q99424	"Evidence at protein level"
ENSG00000134575	ACP2	"Acid phosphatase 2, lysosomal"	P11117	"Evidence at protein level"
ENSG00000142513	ACP4	"Acid phosphatase 4"	Q9BZG2	"Evidence at protein level"
ENSG00000102575	ACP5	"Acid phosphatase 5, tartrate resistant"	P13686	"Evidence at protein level"
ENSG00000068366	ACSL4	"Acyl-CoA synthetase long chain family member 4"	O60488	"Evidence at protein level"
ENSG00000164398	ACSL6	"Acyl-CoA synthetase long chain family member 6"	Q9UKU0	"Evidence at protein level"
ENSG00000077522	ACTN2	"Actinin alpha 2"	P35609	"Evidence at protein level"
ENSG00000115170	ACVR1	"Activin A receptor type 1"	Q04771	"Evidence at protein level"
ENSG00000135503	ACVR1B	"Activin A receptor type 1B"	P36896	"Evidence at protein level"
ENSG00000114739	ACVR2B	"Activin A receptor type 2B"	Q13705	"Evidence at protein level"
ENSG00000139567	ACVRL1	"Activin A receptor like type 1"	P37023	"Evidence at protein level"
ENSG00000243989	ACY1	"Aminoacylase 1"	Q03154	"Evidence at protein level"
ENSG00000093072	ADA2	"Adenosine deaminase 2"	Q9NZK5	"Evidence at protein level"
ENSG00000137845	ADAM10	"ADAM metallopeptidase domain 10"	O14672	"Evidence at protein level"
ENSG00000151694	ADAM17	"ADAM metallopeptidase domain 17"	P78536	"Evidence at protein level"
ENSG00000160323	ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif 13"	Q76LX8	"Evidence at protein level"
ENSG00000087116	ADAMTS2	"ADAM metallopeptidase with thrombospondin type 1 motif 2"	O95450	"Evidence at protein level"
ENSG00000160710	ADAR	"Adenosine deaminase, RNA specific"	P55265	"Evidence at protein level"
ENSG00000164742	ADCY1	"Adenylate cyclase 1"	Q08828	"Evidence at protein level"
ENSG00000143199	ADCY10	"Adenylate cyclase 10"	Q96PN6	"Evidence at protein level"
ENSG00000173175	ADCY5	"Adenylate cyclase 5"	O95622	"Evidence at protein level"
ENSG00000174233	ADCY6	"Adenylate cyclase 6"	O43306	"Evidence at protein level"
ENSG00000127507	ADGRE2	"Adhesion G protein-coupled receptor E2"	Q9UHX3	"Evidence at protein level"
ENSG00000205336	ADGRG1	"Adhesion G protein-coupled receptor G1"	Q9Y653	"Evidence at protein level"
ENSG00000173698	ADGRG2	"Adhesion G protein-coupled receptor G2"	Q8IZP9	"Evidence at protein level"
ENSG00000112414	ADGRG6	"Adhesion G protein-coupled receptor G6"	Q86SQ4	"Evidence at protein level"
ENSG00000164199	ADGRV1	"Adhesion G protein-coupled receptor V1"	Q8WXG9	"Evidence at protein level"
ENSG00000181092	ADIPOQ	"Adiponectin, C1Q and collagen domain containing"	Q15848	"Evidence at protein level"
ENSG00000239900	ADSL	"Adenylosuccinate lyase"	P30566	"Evidence at protein level"
ENSG00000185100	ADSSL1	"Adenylosuccinate synthase like 1"	Q8N142	"Evidence at protein level"
ENSG00000141385	AFG3L2	"AFG3 like matrix AAA peptidase subunit 2"	Q9Y4W6	"Evidence at protein level"
ENSG00000038002	AGA	Aspartylglucosaminidase	P20933	"Evidence at protein level"
ENSG00000273540	AGBL1	"ATP/GTP binding protein like 1"	Q96MI9	"Evidence at protein level"
ENSG00000084693	AGBL5	"ATP/GTP binding protein like 5"	Q8NDL9	"Evidence at protein level"
ENSG00000006530	AGK	"Acylglycerol kinase"	Q53H12	"Evidence at protein level"
ENSG00000162688	AGL	"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	P35573	"Evidence at protein level"
ENSG00000169692	AGPAT2	"1-acylglycerol-3-phosphate O-acyltransferase 2"	O15120	"Evidence at protein level"
ENSG00000018510	AGPS	"Alkylglycerone phosphate synthase"	O00116	"Evidence at protein level"
ENSG00000172482	AGXT	"Alanine-glyoxylate aminotransferase"	P21549	"Evidence at protein level"
ENSG00000101444	AHCY	Adenosylhomocysteinase	P23526	"Evidence at protein level"
ENSG00000111732	AICDA	"Activation induced cytidine deaminase"	Q9GZX7	"Evidence at protein level"
ENSG00000106992	AK1	"Adenylate kinase 1"	P00568	"Evidence at protein level"
ENSG00000004455	AK2	"Adenylate kinase 2"	P54819	"Evidence at protein level"
ENSG00000198610	AKR1C4	"Aldo-keto reductase family 1 member C4"	P17516	"Evidence at protein level"
ENSG00000142208	AKT1	"AKT serine/threonine kinase 1"	P31749	"Evidence at protein level"
ENSG00000105221	AKT2	"AKT serine/threonine kinase 2"	P31751	"Evidence at protein level"
ENSG00000117020	AKT3	"AKT serine/threonine kinase 3"	Q9Y243	"Evidence at protein level"
ENSG00000158578	ALAS2	"5'-aminolevulinate synthase 2"	P22557	"Evidence at protein level"
ENSG00000059573	ALDH18A1	"Aldehyde dehydrogenase 18 family member A1"	P54886	"Evidence at protein level"
ENSG00000184254	ALDH1A3	"Aldehyde dehydrogenase 1 family member A3"	P47895	"Evidence at protein level"
ENSG00000072210	ALDH3A2	"Aldehyde dehydrogenase 3 family member A2"	P51648	"Evidence at protein level"
ENSG00000159423	ALDH4A1	"Aldehyde dehydrogenase 4 family member A1"	P30038	"Evidence at protein level"
ENSG00000112294	ALDH5A1	"Aldehyde dehydrogenase 5 family member A1"	P51649	"Evidence at protein level"
ENSG00000119711	ALDH6A1	"Aldehyde dehydrogenase 6 family member A1"	Q02252	"Evidence at protein level"
